NUM,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
28,2020,SE,FT,"Data Engineer",720000.000,MXN,33511.000,MX,0,MX,S
29,2020,EN,CT,"Business Data Analyst",100000.000,USD,100000.000,US,100,US,L
30,2020,SE,FT,"Machine Learning Manager",157000.000,CAD,117104.000,CA,50,CA,L
31,2020,MI,FT,"Data Engineering Manager",51999.000,EUR,59303.000,DE,100,DE,S
32,2020,EN,FT,"Big Data Engineer",70000.000,USD,70000.000,US,100,US,L
33,2020,SE,FT,"Data Scientist",60000.000,EUR,68428.000,GR,100,US,L
34,2020,MI,FT,"Research Scientist",450000.000,USD,450000.000,US,0,US,M
35,2020,MI,FT,"Data Analyst",41000.000,EUR,46759.000,FR,50,FR,L
36,2020,MI,FT,"Data Engineer",65000.000,EUR,74130.000,AT,50,AT,L
37,2020,MI,FT,"Data Science Consultant",103000.000,USD,103000.000,US,100,US,L
38,2020,EN,FT,"Machine Learning Engineer",250000.000,USD,250000.000,US,50,US,L
39,2020,EN,FT,"Data Analyst",10000.000,USD,10000.000,NG,100,NG,S
40,2020,EN,FT,"Machine Learning Engineer",138000.000,USD,138000.000,US,100,US,S
41,2020,MI,FT,"Data Scientist",45760.000,USD,45760.000,PH,100,US,S
42,2020,EX,FT,"Data Engineering Manager",70000.000,EUR,79833.000,ES,50,ES,L
44,2020,MI,FT,"Data Engineer",106000.000,USD,106000.000,US,100,US,L
45,2020,MI,FT,"Data Engineer",88000.000,GBP,112872.000,GB,50,GB,L
46,2020,EN,PT,"ML Engineer",14000.000,EUR,15966.000,DE,100,DE,S
47,2020,MI,FT,"Data Scientist",60000.000,GBP,76958.000,GB,100,GB,S
48,2020,SE,FT,"Data Engineer",188000.000,USD,188000.000,US,100,US,L
49,2020,MI,FT,"Data Scientist",105000.000,USD,105000.000,US,100,US,L
50,2020,MI,FT,"Data Engineer",61500.000,EUR,70139.000,FR,50,FR,L
51,2020,EN,FT,"Data Analyst",450000.000,INR,6072.000,IN,0,IN,S
52,2020,EN,FT,"Data Analyst",91000.000,USD,91000.000,US,100,US,L
53,2020,EN,FT,"AI Scientist",300000.000,DKK,45896.000,DK,50,DK,S
54,2020,EN,FT,"Data Engineer",48000.000,EUR,54742.000,PK,100,DE,L
55,2020,SE,FL,"Computer Vision Engineer",60000.000,USD,60000.000,RU,100,US,S
56,2020,SE,FT,"Principal Data Scientist",130000.000,EUR,148261.000,DE,100,DE,M
57,2020,MI,FT,"Data Scientist",34000.000,EUR,38776.000,ES,100,ES,M
58,2020,MI,FT,"Data Scientist",118000.000,USD,118000.000,US,100,US,M
59,2020,SE,FT,"Data Scientist",120000.000,USD,120000.000,US,50,US,L
60,2020,MI,FT,"Data Scientist",138350.000,USD,138350.000,US,100,US,M
61,2020,MI,FT,"Data Engineer",110000.000,USD,110000.000,US,100,US,L
62,2020,MI,FT,"Data Engineer",130800.000,USD,130800.000,ES,100,US,M
63,2020,EN,PT,"Data Scientist",19000.000,EUR,21669.000,IT,50,IT,S
64,2020,SE,FT,"Data Scientist",412000.000,USD,412000.000,US,100,US,L
65,2020,SE,FT,"Machine Learning Engineer",40000.000,EUR,45618.000,HR,100,HR,S
66,2020,EN,FT,"Data Scientist",55000.000,EUR,62726.000,DE,50,DE,S
67,2020,EN,FT,"Data Scientist",43200.000,EUR,49268.000,DE,0,DE,S
68,2020,SE,FT,"Data Science Manager",190200.000,USD,190200.000,US,100,US,M
69,2020,EN,FT,"Data Scientist",105000.000,USD,105000.000,US,100,US,S
70,2020,SE,FT,"Data Scientist",80000.000,EUR,91237.000,AT,0,AT,S
71,2020,MI,FT,"Data Scientist",55000.000,EUR,62726.000,FR,50,LU,S
72,2020,MI,FT,"Data Scientist",37000.000,EUR,42197.000,FR,50,FR,S
73,2021,EN,FT,"Research Scientist",60000.000,GBP,82528.000,GB,50,GB,L
74,2021,EX,FT,"BI Data Analyst",150000.000,USD,150000.000,IN,100,US,L
75,2021,EX,FT,"Head of Data",235000.000,USD,235000.000,US,100,US,L
76,2021,SE,FT,"Data Scientist",45000.000,EUR,53192.000,FR,50,FR,L
77,2021,MI,FT,"BI Data Analyst",100000.000,USD,100000.000,US,100,US,M
78,2021,MI,PT,"3D Computer Vision Researcher",400000.000,INR,5409.000,IN,50,IN,M
79,2021,MI,CT,"ML Engineer",270000.000,USD,270000.000,US,100,US,L
80,2021,EN,FT,"Data Analyst",80000.000,USD,80000.000,US,100,US,M
81,2021,SE,FT,"Data Analytics Engineer",67000.000,EUR,79197.000,DE,100,DE,L
82,2021,MI,FT,"Data Engineer",140000.000,USD,140000.000,US,100,US,L
83,2021,MI,FT,"Applied Data Scientist",68000.000,CAD,54238.000,GB,50,CA,L
84,2021,MI,FT,"Machine Learning Engineer",40000.000,EUR,47282.000,ES,100,ES,S
85,2021,EX,FT,"Director of Data Science",130000.000,EUR,153667.000,IT,100,PL,L
86,2021,MI,FT,"Data Engineer",110000.000,PLN,28476.000,PL,100,PL,L
87,2021,EN,FT,"Data Analyst",50000.000,EUR,59102.000,FR,50,FR,M
88,2021,MI,FT,"Data Analytics Engineer",110000.000,USD,110000.000,US,100,US,L
89,2021,SE,FT,"Lead Data Analyst",170000.000,USD,170000.000,US,100,US,L
90,2021,SE,FT,"Data Analyst",80000.000,USD,80000.000,BG,100,US,S
91,2021,SE,FT,"Marketing Data Analyst",75000.000,EUR,88654.000,GR,100,DK,L
92,2021,EN,FT,"Data Science Consultant",65000.000,EUR,76833.000,DE,100,DE,S
93,2021,MI,FT,"Lead Data Analyst",1450000.000,INR,19609.000,IN,100,IN,L
94,2021,SE,FT,"Lead Data Engineer",276000.000,USD,276000.000,US,0,US,L
95,2021,EN,FT,"Data Scientist",2200000.000,INR,29751.000,IN,50,IN,L
96,2021,MI,FT,"Cloud Data Engineer",120000.000,SGD,89294.000,SG,50,SG,L
97,2021,EN,PT,"AI Scientist",12000.000,USD,12000.000,BR,100,US,S
98,2021,MI,FT,"Financial Data Analyst",450000.000,USD,450000.000,US,100,US,L
101,2021,MI,FT,"Data Analyst",75000.000,USD,75000.000,US,0,US,L
102,2021,SE,FT,"Data Engineer",150000.000,USD,150000.000,US,100,US,L
103,2021,MI,FT,"BI Data Analyst",11000000.000,HUF,36259.000,HU,50,US,L
104,2021,MI,FT,"Data Analyst",62000.000,USD,62000.000,US,0,US,L
105,2021,MI,FT,"Data Scientist",73000.000,USD,73000.000,US,0,US,L
106,2021,MI,FT,"Data Analyst",37456.000,GBP,51519.000,GB,50,GB,L
107,2021,MI,FT,"Research Scientist",235000.000,CAD,187442.000,CA,100,CA,L
108,2021,SE,FT,"Data Engineer",115000.000,USD,115000.000,US,100,US,S
109,2021,SE,FT,"Data Engineer",150000.000,USD,150000.000,US,100,US,M
110,2021,EN,FT,"Data Engineer",2250000.000,INR,30428.000,IN,100,IN,L
111,2021,SE,FT,"Machine Learning Engineer",80000.000,EUR,94564.000,DE,50,DE,L
112,2021,SE,FT,"Director of Data Engineering",82500.000,GBP,113476.000,GB,100,GB,M
113,2021,SE,FT,"Lead Data Engineer",75000.000,GBP,103160.000,GB,100,GB,S
114,2021,EN,PT,"AI Scientist",12000.000,USD,12000.000,PK,100,US,M
115,2021,MI,FT,"Data Engineer",38400.000,EUR,45391.000,NL,100,NL,L
116,2021,EN,FT,"Machine Learning Scientist",225000.000,USD,225000.000,US,100,US,L
117,2021,MI,FT,"Data Scientist",50000.000,USD,50000.000,NG,100,NG,L
118,2021,MI,FT,"Data Science Engineer",34000.000,EUR,40189.000,GR,100,GR,M
119,2021,EN,FT,"Data Analyst",90000.000,USD,90000.000,US,100,US,S
120,2021,MI,FT,"Data Engineer",200000.000,USD,200000.000,US,100,US,L
121,2021,MI,FT,"Big Data Engineer",60000.000,USD,60000.000,ES,50,RO,M
122,2021,SE,FT,"Principal Data Engineer",200000.000,USD,200000.000,US,100,US,M
123,2021,EN,FT,"Data Analyst",50000.000,USD,50000.000,US,100,US,M
124,2021,EN,FT,"Applied Data Scientist",80000.000,GBP,110037.000,GB,0,GB,L
125,2021,EN,PT,"Data Analyst",8760.000,EUR,10354.000,ES,50,ES,M
126,2021,MI,FT,"Principal Data Scientist",151000.000,USD,151000.000,US,100,US,L
127,2021,SE,FT,"Machine Learning Scientist",120000.000,USD,120000.000,US,50,US,S
128,2021,MI,FT,"Data Scientist",700000.000,INR,9466.000,IN,0,IN,S
129,2021,EN,FT,"Machine Learning Engineer",20000.000,USD,20000.000,IN,100,IN,S
130,2021,SE,FT,"Lead Data Scientist",3000000.000,INR,40570.000,IN,50,IN,L
131,2021,EN,FT,"Machine Learning Developer",100000.000,USD,100000.000,IQ,50,IQ,S
132,2021,EN,FT,"Data Scientist",42000.000,EUR,49646.000,FR,50,FR,M
134,2021,SE,FT,"Computer Vision Engineer",24000.000,USD,24000.000,BR,100,BR,M
135,2021,EN,FT,"Data Scientist",100000.000,USD,100000.000,US,0,US,S
136,2021,MI,FT,"Data Analyst",90000.000,USD,90000.000,US,100,US,M
137,2021,MI,FT,"ML Engineer",7000000.000,JPY,63711.000,JP,50,JP,S
138,2021,MI,FT,"ML Engineer",8500000.000,JPY,77364.000,JP,50,JP,S
139,2021,SE,FT,"Principal Data Scientist",220000.000,USD,220000.000,US,0,US,L
140,2021,EN,FT,"Data Scientist",80000.000,USD,80000.000,US,100,US,M
141,2021,MI,FT,"Data Analyst",135000.000,USD,135000.000,US,100,US,L
142,2021,SE,FT,"Data Science Manager",240000.000,USD,240000.000,US,0,US,L
143,2021,SE,FT,"Data Engineering Manager",150000.000,USD,150000.000,US,0,US,L
144,2021,MI,FT,"Data Scientist",82500.000,USD,82500.000,US,100,US,S
145,2021,MI,FT,"Data Engineer",100000.000,USD,100000.000,US,100,US,L
146,2021,SE,FT,"Machine Learning Engineer",70000.000,EUR,82744.000,BE,50,BE,M
147,2021,MI,FT,"Research Scientist",53000.000,EUR,62649.000,FR,50,FR,M
148,2021,MI,FT,"Data Engineer",90000.000,USD,90000.000,US,100,US,L
149,2021,SE,FT,"Data Engineering Manager",153000.000,USD,153000.000,US,100,US,L
150,2021,SE,FT,"Cloud Data Engineer",160000.000,USD,160000.000,BR,100,US,S
151,2021,SE,FT,"Director of Data Science",168000.000,USD,168000.000,JP,0,JP,S
152,2021,MI,FT,"Data Scientist",150000.000,USD,150000.000,US,100,US,M
153,2021,MI,FT,"Data Scientist",95000.000,CAD,75774.000,CA,100,CA,L
154,2021,EN,FT,"Data Scientist",13400.000,USD,13400.000,UA,100,UA,L
155,2021,SE,FT,"Data Science Manager",144000.000,USD,144000.000,US,100,US,L
156,2021,SE,FT,"Data Science Engineer",159500.000,CAD,127221.000,CA,50,CA,L
157,2021,MI,FT,"Data Scientist",160000.000,SGD,119059.000,SG,100,IL,M
159,2021,SE,FT,"Data Analytics Manager",120000.000,USD,120000.000,US,100,US,M
160,2021,EN,FT,"Machine Learning Engineer",125000.000,USD,125000.000,US,100,US,S
161,2021,EX,FT,"Head of Data",230000.000,USD,230000.000,RU,50,RU,L
162,2021,EX,FT,"Head of Data Science",85000.000,USD,85000.000,RU,0,RU,M
163,2021,MI,FT,"Data Engineer",24000.000,EUR,28369.000,MT,50,MT,L
164,2021,EN,FT,"Data Science Consultant",54000.000,EUR,63831.000,DE,50,DE,L
165,2021,EX,FT,"Director of Data Science",110000.000,EUR,130026.000,DE,50,DE,M
166,2021,SE,FT,"Data Specialist",165000.000,USD,165000.000,US,100,US,L
167,2021,EN,FT,"Data Engineer",80000.000,USD,80000.000,US,100,US,L
168,2021,EX,FT,"Director of Data Science",250000.000,USD,250000.000,US,0,US,L
169,2021,EN,FT,"BI Data Analyst",55000.000,USD,55000.000,US,50,US,S
170,2021,MI,FT,"Data Architect",150000.000,USD,150000.000,US,100,US,L
171,2021,MI,FT,"Data Architect",170000.000,USD,170000.000,US,100,US,L
172,2021,MI,FT,"Data Engineer",60000.000,GBP,82528.000,GB,100,GB,L
173,2021,EN,FT,"Data Analyst",60000.000,USD,60000.000,US,100,US,S
174,2021,SE,FT,"Principal Data Scientist",235000.000,USD,235000.000,US,100,US,L
175,2021,SE,FT,"Research Scientist",51400.000,EUR,60757.000,PT,50,PT,L
176,2021,SE,FT,"Data Engineering Manager",174000.000,USD,174000.000,US,100,US,L
177,2021,MI,FT,"Data Scientist",58000.000,MXN,2859.000,MX,0,MX,S
178,2021,MI,FT,"Data Scientist",30400000.000,CLP,40038.000,CL,100,CL,L
179,2021,EN,FT,"Machine Learning Engineer",81000.000,USD,81000.000,US,50,US,S
180,2021,MI,FT,"Data Scientist",420000.000,INR,5679.000,IN,100,US,S
181,2021,MI,FT,"Big Data Engineer",1672000.000,INR,22611.000,IN,0,IN,L
182,2021,MI,FT,"Data Scientist",76760.000,EUR,90734.000,DE,50,DE,L
183,2021,MI,FT,"Data Engineer",22000.000,EUR,26005.000,RO,0,US,L
184,2021,SE,FT,"Finance Data Analyst",45000.000,GBP,61896.000,GB,50,GB,L
185,2021,MI,FL,"Machine Learning Scientist",12000.000,USD,12000.000,PK,50,PK,M
186,2021,MI,FT,"Data Engineer",4000.000,USD,4000.000,IR,100,IR,M
187,2021,SE,FT,"Data Analytics Engineer",50000.000,USD,50000.000,VN,100,GB,M
188,2021,EX,FT,"Data Science Consultant",59000.000,EUR,69741.000,FR,100,ES,S
189,2021,SE,FT,"Data Engineer",65000.000,EUR,76833.000,RO,50,GB,S
190,2021,MI,FT,"Machine Learning Engineer",74000.000,USD,74000.000,JP,50,JP,S
191,2021,SE,FT,"Data Science Manager",152000.000,USD,152000.000,US,100,FR,L
192,2021,EN,FT,"Machine Learning Engineer",21844.000,USD,21844.000,CO,50,CO,M
193,2021,MI,FT,"Big Data Engineer",18000.000,USD,18000.000,MD,0,MD,S
194,2021,SE,FT,"Data Science Manager",174000.000,USD,174000.000,US,100,US,L
195,2021,SE,FT,"Research Scientist",120500.000,CAD,96113.000,CA,50,CA,L
196,2021,MI,FT,"Data Scientist",147000.000,USD,147000.000,US,50,US,L
197,2021,EN,FT,"BI Data Analyst",9272.000,USD,9272.000,KE,100,KE,S
198,2021,SE,FT,"Machine Learning Engineer",1799997.000,INR,24342.000,IN,100,IN,L
199,2021,SE,FT,"Data Science Manager",4000000.000,INR,54094.000,IN,50,US,L
200,2021,EN,FT,"Data Science Consultant",90000.000,USD,90000.000,US,100,US,S
201,2021,MI,FT,"Data Scientist",52000.000,EUR,61467.000,DE,50,AT,M
203,2021,MI,FT,"Data Scientist",32000.000,EUR,37825.000,ES,100,ES,L
204,2021,SE,FT,"Research Scientist",50000.000,USD,50000.000,FR,100,US,S
205,2021,MI,FT,"Data Scientist",160000.000,USD,160000.000,US,100,US,L
206,2021,MI,FT,"Data Scientist",69600.000,BRL,12901.000,BR,0,BR,S
207,2021,SE,FT,"Machine Learning Engineer",200000.000,USD,200000.000,US,100,US,L
208,2021,SE,FT,"Data Engineer",165000.000,USD,165000.000,US,0,US,M
209,2021,MI,FL,"Data Engineer",20000.000,USD,20000.000,IT,0,US,L
210,2021,SE,FT,"Data Analytics Manager",120000.000,USD,120000.000,US,0,US,L
211,2021,MI,FT,"Machine Learning Engineer",21000.000,EUR,24823.000,SI,50,SI,L
212,2021,MI,FT,"Research Scientist",48000.000,EUR,56738.000,FR,50,FR,S
213,2021,MI,FT,"Data Engineer",48000.000,GBP,66022.000,HK,50,GB,S
214,2021,EN,FT,"Big Data Engineer",435000.000,INR,5882.000,IN,0,CH,L
215,2021,EN,FT,"Machine Learning Engineer",21000.000,EUR,24823.000,DE,50,DE,M
216,2021,SE,FT,"Principal Data Engineer",185000.000,USD,185000.000,US,100,US,L
217,2021,EN,PT,"Computer Vision Engineer",180000.000,DKK,28609.000,DK,50,DK,S
218,2021,MI,FT,"Data Scientist",76760.000,EUR,90734.000,DE,50,DE,L
219,2021,MI,FT,"Machine Learning Engineer",75000.000,EUR,88654.000,BE,100,BE,M
220,2021,SE,FT,"Data Analytics Manager",140000.000,USD,140000.000,US,100,US,L
221,2021,MI,FT,"Machine Learning Engineer",180000.000,PLN,46597.000,PL,100,PL,L
222,2021,MI,FT,"Data Scientist",85000.000,GBP,116914.000,GB,50,GB,L
223,2021,MI,FT,"Data Scientist",2500000.000,INR,33808.000,IN,0,IN,M
224,2021,MI,FT,"Data Scientist",40900.000,GBP,56256.000,GB,50,GB,L
225,2021,SE,FT,"Machine Learning Scientist",225000.000,USD,225000.000,US,100,CA,L
226,2021,EX,CT,"Principal Data Scientist",416000.000,USD,416000.000,US,100,US,S
227,2021,SE,FT,"Data Scientist",110000.000,CAD,87738.000,CA,100,CA,S
228,2021,MI,FT,"Data Scientist",75000.000,EUR,88654.000,DE,50,DE,L
229,2021,SE,FT,"Data Scientist",135000.000,USD,135000.000,US,0,US,L
230,2021,SE,FT,"Data Analyst",90000.000,CAD,71786.000,CA,100,CA,M
231,2021,EN,FT,"Big Data Engineer",1200000.000,INR,16228.000,IN,100,IN,L
232,2021,SE,FT,"ML Engineer",256000.000,USD,256000.000,US,100,US,S
233,2021,SE,FT,"Director of Data Engineering",200000.000,USD,200000.000,US,100,US,L
234,2021,SE,FT,"Data Analyst",200000.000,USD,200000.000,US,100,US,L
235,2021,MI,FT,"Data Architect",180000.000,USD,180000.000,US,100,US,L
236,2021,MI,FT,"Head of Data Science",110000.000,USD,110000.000,US,0,US,S
237,2021,MI,FT,"Research Scientist",80000.000,CAD,63810.000,CA,100,CA,M
238,2021,MI,FT,"Data Scientist",39600.000,EUR,46809.000,ES,100,ES,M
239,2021,EN,FT,"Data Scientist",4000.000,USD,4000.000,VN,0,VN,M
240,2021,EN,FT,"Data Engineer",1600000.000,INR,21637.000,IN,50,IN,M
241,2021,SE,FT,"Data Scientist",130000.000,CAD,103691.000,CA,100,CA,L
242,2021,MI,FT,"Data Analyst",80000.000,USD,80000.000,US,100,US,L
243,2021,MI,FT,"Data Engineer",110000.000,USD,110000.000,US,100,US,L
244,2021,SE,FT,"Data Scientist",165000.000,USD,165000.000,US,100,US,L
245,2021,EN,FT,"AI Scientist",1335000.000,INR,18053.000,IN,100,AS,S
246,2021,MI,FT,"Data Engineer",52500.000,GBP,72212.000,GB,50,GB,L
247,2021,EN,FT,"Data Scientist",31000.000,EUR,36643.000,FR,50,FR,L
248,2021,MI,FT,"Data Engineer",108000.000,TRY,12103.000,TR,0,TR,M
249,2021,SE,FT,"Data Engineer",70000.000,GBP,96282.000,GB,50,GB,L
250,2021,SE,FT,"Principal Data Analyst",170000.000,USD,170000.000,US,100,US,M
251,2021,MI,FT,"Data Scientist",115000.000,USD,115000.000,US,50,US,L
252,2021,EN,FT,"Data Scientist",90000.000,USD,90000.000,US,100,US,S
253,2021,EX,FT,"Principal Data Engineer",600000.000,USD,600000.000,US,100,US,L
254,2021,EN,FT,"Data Scientist",2100000.000,INR,28399.000,IN,100,IN,M
255,2021,MI,FT,"Data Analyst",93000.000,USD,93000.000,US,100,US,L
256,2021,SE,FT,"Big Data Architect",125000.000,CAD,99703.000,CA,50,CA,M
257,2021,MI,FT,"Data Engineer",200000.000,USD,200000.000,US,100,US,L
258,2021,SE,FT,"Principal Data Scientist",147000.000,EUR,173762.000,DE,100,DE,M
259,2021,SE,FT,"Machine Learning Engineer",185000.000,USD,185000.000,US,50,US,L
260,2021,EX,FT,"Director of Data Science",120000.000,EUR,141846.000,DE,0,DE,L
261,2021,MI,FT,"Data Scientist",130000.000,USD,130000.000,US,50,US,L
262,2021,SE,FT,"Data Analyst",54000.000,EUR,63831.000,DE,50,DE,L
263,2021,MI,FT,"Data Scientist",1250000.000,INR,16904.000,IN,100,IN,S
264,2021,SE,FT,"Machine Learning Engineer",4900000.000,INR,66265.000,IN,0,IN,L
265,2021,MI,FT,"Data Scientist",21600.000,EUR,25532.000,RS,100,DE,S
266,2021,SE,FT,"Lead Data Engineer",160000.000,USD,160000.000,PR,50,US,S
267,2021,MI,FT,"Data Engineer",93150.000,USD,93150.000,US,0,US,M
268,2021,MI,FT,"Data Engineer",111775.000,USD,111775.000,US,0,US,M
269,2021,MI,FT,"Data Engineer",250000.000,TRY,28016.000,TR,100,TR,M
270,2021,EN,FT,"Data Engineer",55000.000,EUR,65013.000,DE,50,DE,M
271,2021,EN,FT,"Data Engineer",72500.000,USD,72500.000,US,100,US,L
272,2021,SE,FT,"Computer Vision Engineer",102000.000,BRL,18907.000,BR,0,BR,M
273,2021,EN,FT,"Data Science Consultant",65000.000,EUR,76833.000,DE,0,DE,L
274,2021,EN,FT,"Machine Learning Engineer",85000.000,USD,85000.000,NL,100,DE,S
275,2021,SE,FT,"Data Scientist",65720.000,EUR,77684.000,FR,50,FR,M
276,2021,EN,FT,"Data Scientist",100000.000,USD,100000.000,US,100,US,M
277,2021,EN,FT,"Data Scientist",58000.000,USD,58000.000,US,50,US,L
278,2021,SE,FT,"AI Scientist",55000.000,USD,55000.000,ES,100,ES,L
279,2021,SE,FT,"Data Scientist",180000.000,TRY,20171.000,TR,50,TR,L
280,2021,EN,FT,"Business Data Analyst",50000.000,EUR,59102.000,LU,100,LU,L
281,2021,MI,FT,"Data Engineer",112000.000,USD,112000.000,US,100,US,L
282,2021,EN,FT,"Research Scientist",100000.000,USD,100000.000,JE,0,CN,L
283,2021,MI,PT,"Data Engineer",59000.000,EUR,69741.000,NL,100,NL,L
284,2021,SE,CT,"Staff Data Scientist",105000.000,USD,105000.000,US,100,US,M
285,2021,MI,FT,"Research Scientist",69999.000,USD,69999.000,CZ,50,CZ,L
286,2021,SE,FT,"Data Science Manager",7000000.000,INR,94665.000,IN,50,IN,L
287,2021,SE,FT,"Head of Data",87000.000,EUR,102839.000,SI,100,SI,L
288,2021,MI,FT,"Data Scientist",109000.000,USD,109000.000,US,50,US,L
289,2021,MI,FT,"Machine Learning Engineer",43200.000,EUR,51064.000,IT,50,IT,L
290,2022,SE,FT,"Data Engineer",135000.000,USD,135000.000,US,100,US,M
291,2022,SE,FT,"Data Analyst",155000.000,USD,155000.000,US,100,US,M
292,2022,SE,FT,"Data Analyst",120600.000,USD,120600.000,US,100,US,M
293,2022,MI,FT,"Data Scientist",130000.000,USD,130000.000,US,0,US,M
294,2022,MI,FT,"Data Scientist",90000.000,USD,90000.000,US,0,US,M
295,2022,MI,FT,"Data Engineer",170000.000,USD,170000.000,US,100,US,M
296,2022,MI,FT,"Data Engineer",150000.000,USD,150000.000,US,100,US,M
297,2022,SE,FT,"Data Analyst",102100.000,USD,102100.000,US,100,US,M
298,2022,SE,FT,"Data Analyst",84900.000,USD,84900.000,US,100,US,M
299,2022,SE,FT,"Data Scientist",136620.000,USD,136620.000,US,100,US,M
300,2022,SE,FT,"Data Scientist",99360.000,USD,99360.000,US,100,US,M
301,2022,SE,FT,"Data Scientist",90000.000,GBP,117789.000,GB,0,GB,M
302,2022,SE,FT,"Data Scientist",80000.000,GBP,104702.000,GB,0,GB,M
303,2022,SE,FT,"Data Scientist",146000.000,USD,146000.000,US,100,US,M
304,2022,SE,FT,"Data Scientist",123000.000,USD,123000.000,US,100,US,M
305,2022,EN,FT,"Data Engineer",40000.000,GBP,52351.000,GB,100,GB,M
306,2022,SE,FT,"Data Analyst",99000.000,USD,99000.000,US,0,US,M
307,2022,SE,FT,"Data Analyst",116000.000,USD,116000.000,US,0,US,M
308,2022,MI,FT,"Data Analyst",106260.000,USD,106260.000,US,0,US,M
309,2022,MI,FT,"Data Analyst",126500.000,USD,126500.000,US,0,US,M
310,2022,EX,FT,"Data Engineer",242000.000,USD,242000.000,US,100,US,M
311,2022,EX,FT,"Data Engineer",200000.000,USD,200000.000,US,100,US,M
312,2022,MI,FT,"Data Scientist",50000.000,GBP,65438.000,GB,0,GB,M
313,2022,MI,FT,"Data Scientist",30000.000,GBP,39263.000,GB,0,GB,M
314,2022,MI,FT,"Data Engineer",60000.000,GBP,78526.000,GB,0,GB,M
315,2022,MI,FT,"Data Engineer",40000.000,GBP,52351.000,GB,0,GB,M
316,2022,SE,FT,"Data Scientist",165220.000,USD,165220.000,US,100,US,M
317,2022,EN,FT,"Data Engineer",35000.000,GBP,45807.000,GB,100,GB,M
318,2022,SE,FT,"Data Scientist",120160.000,USD,120160.000,US,100,US,M
319,2022,SE,FT,"Data Analyst",90320.000,USD,90320.000,US,100,US,M
320,2022,SE,FT,"Data Engineer",181940.000,USD,181940.000,US,0,US,M
321,2022,SE,FT,"Data Engineer",132320.000,USD,132320.000,US,0,US,M
322,2022,SE,FT,"Data Engineer",220110.000,USD,220110.000,US,0,US,M
323,2022,SE,FT,"Data Engineer",160080.000,USD,160080.000,US,0,US,M
324,2022,SE,FT,"Data Scientist",180000.000,USD,180000.000,US,0,US,L
325,2022,SE,FT,"Data Scientist",120000.000,USD,120000.000,US,0,US,L
326,2022,SE,FT,"Data Analyst",124190.000,USD,124190.000,US,100,US,M
327,2022,EX,FT,"Data Analyst",130000.000,USD,130000.000,US,100,US,M
328,2022,EX,FT,"Data Analyst",110000.000,USD,110000.000,US,100,US,M
329,2022,SE,FT,"Data Analyst",170000.000,USD,170000.000,US,100,US,M
330,2022,MI,FT,"Data Analyst",115500.000,USD,115500.000,US,100,US,M
331,2022,SE,FT,"Data Analyst",112900.000,USD,112900.000,US,100,US,M
332,2022,SE,FT,"Data Analyst",90320.000,USD,90320.000,US,100,US,M
